"cardId","contentType","timesOffered","timesLegal","timesSelected","selectionRateWhenLegal","winRateWhenSelected","averageScoreDifferentialWhenSelected","averageSelectionTurn","policyDistribution","laneA","laneB","laneC"
"BUILD_GROWTH_WORKS","BUILD","110628","67792","33074","0.4878746754779325","0.26346979500514","-2.4665900707504385","8.781883050130011","{""RANDOM_LEGAL"":4372,""ECONOMY_FIRST"":11902,""MILITARY_FIRST"":1398,""INSIGHT_FIRST"":4098,""BOARD_CONTROL"":790,""ADAPTIVE"":10514}","12424","9686","10964"
"BUILD_INSIGHT_ARCHIVE","BUILD","106596","65282","24424","0.3741306945252903","0.22224041925974453","-2.8399934490664918","9.46847363249263","{""RANDOM_LEGAL"":3598,""ECONOMY_FIRST"":6204,""MILITARY_FIRST"":924,""INSIGHT_FIRST"":11094,""BOARD_CONTROL"":752,""ADAPTIVE"":1852}","8538","7378","8508"
"BUILD_RIVER_MILL","BUILD","108276","65722","32380","0.49268129393505977","0.2614576899320568","-2.5536751080914146","8.753613341568869","{""RANDOM_LEGAL"":3840,""ECONOMY_FIRST"":11888,""MILITARY_FIRST"":1468,""INSIGHT_FIRST"":3706,""BOARD_CONTROL"":748,""ADAPTIVE"":10730}","11536","10536","10308"
"BUILD_GARRISON_POST","BUILD","109872","65772","31014","0.47153804050355774","0.262784548913394","-2.159024956471271","8.89649835558135","{""RANDOM_LEGAL"":4152,""ECONOMY_FIRST"":11866,""MILITARY_FIRST"":1420,""INSIGHT_FIRST"":3786,""BOARD_CONTROL"":2836,""ADAPTIVE"":6954}","11242","9124","10648"
"TRAIN_A1_SWORD","TRAIN","26460","19800","7824","0.39515151515151514","0.45807770961145194","2.6566973415132926","4.054447852760736","{""RANDOM_LEGAL"":1464,""ECONOMY_FIRST"":296,""MILITARY_FIRST"":2208,""INSIGHT_FIRST"":544,""BOARD_CONTROL"":2242,""ADAPTIVE"":1070}","2442","2594","2788"
"TRAIN_A1_SPEAR","TRAIN","24360","18168","6646","0.36580801409070896","0.47758049954860066","3.203731567860367","3.927475173036413","{""RANDOM_LEGAL"":1218,""ECONOMY_FIRST"":160,""MILITARY_FIRST"":2064,""INSIGHT_FIRST"":354,""BOARD_CONTROL"":1946,""ADAPTIVE"":904}","2252","2104","2290"
"TRAIN_A1_HORSE","TRAIN","28644","21662","8332","0.38463669097959563","0.4620739318290927","2.7947671627460395","3.955832933269323","{""RANDOM_LEGAL"":1512,""ECONOMY_FIRST"":260,""MILITARY_FIRST"":2578,""INSIGHT_FIRST"":568,""BOARD_CONTROL"":2340,""ADAPTIVE"":1074}","2856","2712","2764"
"TRAIN_A1_REACH","TRAIN","24696","18862","7036","0.37302512989078573","0.4633314383172257","2.6819215463331436","3.999431495167709","{""RANDOM_LEGAL"":1240,""ECONOMY_FIRST"":274,""MILITARY_FIRST"":2176,""INSIGHT_FIRST"":502,""BOARD_CONTROL"":1940,""ADAPTIVE"":904}","2254","2282","2500"
"TRAIN_A2_SWORD","TRAIN","35952","28510","10534","0.36948439144159945","0.4368710841086007","1.547750142396051","9.659768369090564","{""RANDOM_LEGAL"":2170,""ECONOMY_FIRST"":658,""MILITARY_FIRST"":2546,""INSIGHT_FIRST"":572,""BOARD_CONTROL"":2434,""ADAPTIVE"":2154}","3574","3388","3572"
"TRAIN_A2_SPEAR","TRAIN","37380","29874","11242","0.37631385150967395","0.43586550435865506","1.564668208503825","9.62533357053905","{""RANDOM_LEGAL"":2410,""ECONOMY_FIRST"":642,""MILITARY_FIRST"":2748,""INSIGHT_FIRST"":626,""BOARD_CONTROL"":2618,""ADAPTIVE"":2198}","3728","3664","3850"
"TRAIN_A2_HORSE","TRAIN","35700","28810","10424","0.36181881291218326","0.43668457405986183","1.401573292402149","9.600153491941674","{""RANDOM_LEGAL"":1950,""ECONOMY_FIRST"":678,""MILITARY_FIRST"":2566,""INSIGHT_FIRST"":514,""BOARD_CONTROL"":2420,""ADAPTIVE"":2296}","3474","3358","3592"
"TRAIN_A2_REACH","TRAIN","38136","30482","11458","0.37589397021192833","0.4351544772211555","1.7076278582649678","9.45627509163903","{""RANDOM_LEGAL"":2264,""ECONOMY_FIRST"":688,""MILITARY_FIRST"":2768,""INSIGHT_FIRST"":634,""BOARD_CONTROL"":2648,""ADAPTIVE"":2456}","3914","3774","3770"
"TRAIN_A3_SWORD","TRAIN","40740","31314","10612","0.338889953375487","0.40105540897097625","0.8286845081040332","15.58707124010554","{""RANDOM_LEGAL"":2164,""ECONOMY_FIRST"":1218,""MILITARY_FIRST"":2232,""INSIGHT_FIRST"":608,""BOARD_CONTROL"":1968,""ADAPTIVE"":2422}","3618","3388","3606"
"TRAIN_A3_SPEAR","TRAIN","40656","31396","11358","0.36176583004204355","0.40112695897164996","0.9253389681281916","15.61119915478077","{""RANDOM_LEGAL"":2336,""ECONOMY_FIRST"":1166,""MILITARY_FIRST"":2340,""INSIGHT_FIRST"":684,""BOARD_CONTROL"":2302,""ADAPTIVE"":2530}","3736","3894","3728"
"TRAIN_A3_HORSE","TRAIN","41832","32976","11840","0.35904900533721495","0.39864864864864863","0.8322635135135135","15.514527027027027","{""RANDOM_LEGAL"":2474,""ECONOMY_FIRST"":1310,""MILITARY_FIRST"":2462,""INSIGHT_FIRST"":826,""BOARD_CONTROL"":2320,""ADAPTIVE"":2448}","4158","4052","3630"
"TRAIN_A3_REACH","TRAIN","39564","30930","10748","0.3474943420627223","0.4036099739486416","0.9291030889467808","15.611090435429848","{""RANDOM_LEGAL"":2232,""ECONOMY_FIRST"":1090,""MILITARY_FIRST"":2302,""INSIGHT_FIRST"":568,""BOARD_CONTROL"":2298,""ADAPTIVE"":2258}","3828","3380","3540"
"TRAIN_A4_SWORD","TRAIN","50148","33242","12686","0.3816256542927622","0.3135740186031846","-0.4526249408797099","21.58978401387356","{""RANDOM_LEGAL"":2636,""ECONOMY_FIRST"":2492,""MILITARY_FIRST"":1548,""INSIGHT_FIRST"":1688,""BOARD_CONTROL"":1472,""ADAPTIVE"":2850}","4534","4016","4136"
"TRAIN_A4_SPEAR","TRAIN","49476","32754","11898","0.36325334310313245","0.3000504286434695","-0.6369137670196672","21.639939485627835","{""RANDOM_LEGAL"":2202,""ECONOMY_FIRST"":2540,""MILITARY_FIRST"":1320,""INSIGHT_FIRST"":1654,""BOARD_CONTROL"":1410,""ADAPTIVE"":2772}","4298","3540","4060"
"TRAIN_A4_HORSE","TRAIN","49392","32528","12134","0.37303246433841614","0.2922366902917422","-1.0001648261084555","21.711719136311192","{""RANDOM_LEGAL"":2250,""ECONOMY_FIRST"":2662,""MILITARY_FIRST"":1250,""INSIGHT_FIRST"":1768,""BOARD_CONTROL"":1440,""ADAPTIVE"":2764}","4590","3678","3866"
"TRAIN_A4_REACH","TRAIN","51492","34078","12756","0.3743177416515054","0.30840388836625904","-0.5697710881153967","21.63060520539354","{""RANDOM_LEGAL"":2442,""ECONOMY_FIRST"":2478,""MILITARY_FIRST"":1508,""INSIGHT_FIRST"":1860,""BOARD_CONTROL"":1478,""ADAPTIVE"":2990}","4706","3798","4252"
"PERK_ECO_GROWTH_1","PERK","20244","16776","6350","0.3785169289461135","0.3401574803149606","-0.08220472440944881","12.694488188976377","{""RANDOM_LEGAL"":1006,""ECONOMY_FIRST"":838,""MILITARY_FIRST"":958,""INSIGHT_FIRST"":1666,""BOARD_CONTROL"":1048,""ADAPTIVE"":834}","0","0","0"
"PERK_ECO_INSIGHT_1","PERK","20748","16418","6800","0.4141795590205872","0.3352941176470588","-0.17352941176470588","12.306764705882353","{""RANDOM_LEGAL"":1142,""ECONOMY_FIRST"":902,""MILITARY_FIRST"":1014,""INSIGHT_FIRST"":2064,""BOARD_CONTROL"":1128,""ADAPTIVE"":550}","0","0","0"
"PERK_ECO_GROWTH_MUL","PERK","15540","13420","5090","0.37928464977645304","0.3567779960707269","0.19410609037328094","16.53713163064833","{""RANDOM_LEGAL"":766,""ECONOMY_FIRST"":724,""MILITARY_FIRST"":864,""INSIGHT_FIRST"":1306,""BOARD_CONTROL"":876,""ADAPTIVE"":554}","0","0","0"
"PERK_ECO_INSIGHT_MUL","PERK","14112","12222","4812","0.39371624938635247","0.33832086450540316","0.27680798004987534","15.288861180382378","{""RANDOM_LEGAL"":786,""ECONOMY_FIRST"":614,""MILITARY_FIRST"":788,""INSIGHT_FIRST"":1564,""BOARD_CONTROL"":748,""ADAPTIVE"":312}","0","0","0"
"PERK_ECO_RIVER_GROWTH","PERK","21840","17970","7396","0.4115748469671675","0.3561384532179557","0.405895078420768","13.43347755543537","{""RANDOM_LEGAL"":1308,""ECONOMY_FIRST"":938,""MILITARY_FIRST"":1288,""INSIGHT_FIRST"":1852,""BOARD_CONTROL"":1278,""ADAPTIVE"":732}","0","0","0"
"PERK_ECO_BALANCED","PERK","14112","12074","5226","0.43283087626304456","0.33983926521239954","0.22081898201301187","15.737849215461155","{""RANDOM_LEGAL"":726,""ECONOMY_FIRST"":654,""MILITARY_FIRST"":878,""INSIGHT_FIRST"":1606,""BOARD_CONTROL"":912,""ADAPTIVE"":450}","0","0","0"
"PERK_MIL_SWORD","PERK","22092","17804","7738","0.434621433385756","0.36934608425949855","0.8767123287671232","12.428792969759629","{""RANDOM_LEGAL"":1300,""ECONOMY_FIRST"":908,""MILITARY_FIRST"":1606,""INSIGHT_FIRST"":1826,""BOARD_CONTROL"":1620,""ADAPTIVE"":478}","0","0","0"
"PERK_MIL_SPEAR","PERK","18816","15518","7332","0.4724835674700348","0.3597926895799236","0.3641571194762684","13.306055646481179","{""RANDOM_LEGAL"":1146,""ECONOMY_FIRST"":866,""MILITARY_FIRST"":1506,""INSIGHT_FIRST"":1674,""BOARD_CONTROL"":1482,""ADAPTIVE"":658}","0","0","0"
