"experiment","age","matches","passFrequency","noLegalTurns","affordabilityRate","buildOfferRate","trainOfferRate","advanceOfferRate","keystoneOfferRate","buildSelectionRate","trainSelectionRate","advanceSelectionRate","keystoneSelectionRate","endingGrowth","endingInsight","growthIncome","insightIncome","growthSpent","insightSpent","structures","units","perks","keystones","contestedHeldPerTurn","avgPlayerScore","avgSnapshotScore","scoreDiff","tieRate","playerWinRate","combatPerSide","survivalTurns","counterAdvantagePerSide","reachParticipationPerSide","reachProtectionPerSide","riverLaneSelections","highlandLaneSelections","coastLaneSelections"
"BASELINE","ALL","10500","0.114198412698414","57556","0.7258690476190476","0.28794444444443723","0.4064999999999954","0.3055555555555567","0.030333333333331897","0.23986507936507936","0.3323968253968254","0.31353968253968256","0.02892857142857143","155.06542857142858","64.15571428571428","299.59114285714287","102.87933333333334","152.5257142857143","40.723619047619046","5.7567619047619045","7.9775238095238095","7.524952380952381","0.6942857142857143","0.2563055555555549","6.1513333333333335","6.1513333333333335","0","0.3","0.35","14.541333333333334","6.622484840132304","2.484952380952381","0.9785714285714285","0.3323809523809524","12.581142857142858","6.995047619047619","7.892380952380952"
"BASELINE","1","10500","0.16538095238095238","20838","0.7197195767195768","0.5493333333333333","0.27555555555555555","0.1751111111111111","0","0.3925396825396825","0.2368095238095238","0.20526984126984127","0","11.24304761904762","13.70647619047619","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","2.355238095238095","1.4208571428571428","1.2316190476190476","SEE_SELECTION_RATE","SEE_ALL_ROW","0.729047619047619","0.729047619047619","0","FINAL_ONLY","FINAL_ONLY","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW"
"BASELINE","2","10500","0.08696825396825397","10958","0.7536190476190476","0.338","0.3893333333333333","0.27266666666666667","0","0.29604761904761906","0.3464920634920635","0.2704920634920635","0","29.809238095238094","28.52352380952381","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","4.131523809523809","3.4998095238095237","2.8545714285714285","SEE_SELECTION_RATE","SEE_ALL_ROW","2.183333333333333","2.183333333333333","0","FINAL_ONLY","FINAL_ONLY","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW"
"BASELINE","3","10500","0.06957142857142858","8766","0.7632751322751323","0.2011111111111111","0.43066666666666664","0.36822222222222223","0.058222222222222224","0.21671428571428572","0.35363492063492064","0.36007936507936505","0.071","75.62819047619048","46.66895238095238","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","5.431809523809524","5.621619047619047","5.015047619047619","SEE_SELECTION_RATE","SEE_ALL_ROW","4.074666666666666","4.074666666666666","0","FINAL_ONLY","FINAL_ONLY","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW"
"BASELINE","4","10500","0.13487301587301587","16994","0.6668624338624338","0.06333333333333334","0.5304444444444445","0.4062222222222222","0.06311111111111112","0.054158730158730156","0.39265079365079364","0.4183174603174603","0.04471428571428571","155.06542857142858","64.15571428571428","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","CUMULATIVE_ONLY_ALL_ROW","5.7567619047619045","7.9775238095238095","7.524952380952381","SEE_SELECTION_RATE","SEE_ALL_ROW","6.1513333333333335","6.1513333333333335","0","FINAL_ONLY","FINAL_ONLY","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW","SEE_ALL_ROW"
"MATCHED_BASELINE_START_GROWTH_6","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
"START_GROWTH_6","ALL","1200","0.16097222222222238","9272","0.6155555555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.15059027777777778","0.3384027777777778","0.3500347222222222","0.03017361111111111","94.63583333333334","53.56583333333333","217.04833333333335","94.97083333333333","128.4125","43.405","3.6141666666666667","8.121666666666666","8.400833333333333","0.7241666666666666","0.35586805555555384","8.540833333333333","8.540833333333333","0","0.021666666666666667","0.4891666666666667","12.611666666666666","7.169685039370079","3.848333333333333","0.13666666666666666","0.0625","9.431666666666667","6.501666666666667","7.538333333333333"
"MATCHED_BASELINE_START_GROWTH_10","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
"START_GROWTH_10","ALL","1200","0.11097222222222226","6392","0.7167476851851852","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.22913194444444446","0.34975694444444444","0.3101388888888889","0.028888888888888888","139.93833333333333","64.76333333333334","281.3908333333333","103.525","151.4525","40.76166666666666","5.4991666666666665","8.394166666666667","7.443333333333333","0.6933333333333334","0.42364583333333194","10.1675","10.1675","0","0","0.5","11.166666666666666","7.359154929577465","3.535833333333333","0.07416666666666667","0.034166666666666665","12.34","7.135","8.311666666666667"
"MATCHED_BASELINE_START_INSIGHT_0","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
